GENOA	B-NONE
whose	B-ARGUMENTATIVE
only	I-ARGUMENTATIVE
object	I-ARGUMENTATIVE
is	I-ARGUMENTATIVE
pleasure	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Zelphine	B-DESCRIPTIVE
is	I-DESCRIPTIVE
the	I-DESCRIPTIVE
encyclopædia	I-DESCRIPTIVE
of	I-DESCRIPTIVE
the	I-DESCRIPTIVE
party	I-DESCRIPTIVE
,	I-DESCRIPTIVE

and	B-DESCRIPTIVE
,	I-DESCRIPTIVE

as	B-NARRATIVE
Angela	I-NARRATIVE
says	I-NARRATIVE
,	I-NARRATIVE

her	I-DESCRIPTIVE
information	I-DESCRIPTIVE
is	I-DESCRIPTIVE
always	I-DESCRIPTIVE
on	I-DESCRIPTIVE
tap	I-DESCRIPTIVE
,	I-DESCRIPTIVE

besides	B-DESCRIPTIVE
which	I-DESCRIPTIVE
she	I-DESCRIPTIVE
is	I-DESCRIPTIVE
amiable	I-DESCRIPTIVE
and	I-DESCRIPTIVE
refreshingly	I-DESCRIPTIVE
romantic	I-DESCRIPTIVE
.	I-DESCRIPTIVE

It	B-ARGUMENTATIVE
is	I-ARGUMENTATIVE
inspiring	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
travel	I-ARGUMENTATIVE
with	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
woman	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
no	I-ARGUMENTATIVE
longer	I-ARGUMENTATIVE
young	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

to	B-DESCRIPTIVE
whom	I-DESCRIPTIVE
the	I-DESCRIPTIVE
world	I-DESCRIPTIVE
and	I-DESCRIPTIVE
its	I-DESCRIPTIVE
inhabitants	I-DESCRIPTIVE
still	I-DESCRIPTIVE
wear	I-DESCRIPTIVE
"	I-DESCRIPTIVE
the	I-DESCRIPTIVE
glory	I-DESCRIPTIVE
and	I-DESCRIPTIVE
the	I-DESCRIPTIVE
dream	I-DESCRIPTIVE
.	I-DESCRIPTIVE
"	I-DESCRIPTIVE

On	B-ARGUMENTATIVE
the	I-ARGUMENTATIVE
other	I-ARGUMENTATIVE
hand	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
when	I-ARGUMENTATIVE
one	I-ARGUMENTATIVE
is	I-ARGUMENTATIVE
suffering	I-ARGUMENTATIVE
from	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
discomforts	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
travel	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
such	I-ARGUMENTATIVE
an	I-ARGUMENTATIVE
extent	I-ARGUMENTATIVE
that	I-ARGUMENTATIVE
it	I-ARGUMENTATIVE
would	I-ARGUMENTATIVE
be	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
luxury	I-ARGUMENTATIVE

to	B-ARGUMENTATIVE
moan	I-ARGUMENTATIVE

and	B-ARGUMENTATIVE
groan	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
bit	I-ARGUMENTATIVE

and	B-ARGUMENTATIVE
find	I-ARGUMENTATIVE
fault	I-ARGUMENTATIVE
with	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
general	I-ARGUMENTATIVE
condition	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
things	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

it	B-ARGUMENTATIVE
is	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
trifle	I-ARGUMENTATIVE
irritating	I-ARGUMENTATIVE

to	B-ARGUMENTATIVE
see	I-ARGUMENTATIVE
Zelphine	I-ARGUMENTATIVE

sailing	B-ARGUMENTATIVE
serenely	I-ARGUMENTATIVE
upon	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
seas	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
high	I-ARGUMENTATIVE
content	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
apparently	I-ARGUMENTATIVE
above	I-ARGUMENTATIVE
such	I-ARGUMENTATIVE
trifling	I-ARGUMENTATIVE
accidents	I-ARGUMENTATIVE
as	I-ARGUMENTATIVE
material	I-ARGUMENTATIVE
comfort	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

You	B-OTHER
,	I-OTHER
being	I-OTHER
a	I-OTHER
man	I-OTHER
and	I-OTHER
consequently	I-OTHER
a	I-OTHER
philosopher	I-OTHER
of	I-OTHER
greater	I-OTHER
or	I-OTHER
less	I-OTHER
degree	I-OTHER
,	I-OTHER

may	B-OTHER
not	I-OTHER
be	I-OTHER
able	I-OTHER
to	I-OTHER
understand	I-OTHER
this	I-OTHER
;	I-OTHER

it	B-NARRATIVE
is	I-NARRATIVE
just	I-NARRATIVE
here	I-NARRATIVE

that	B-NARRATIVE
Zelphine	I-NARRATIVE
and	I-NARRATIVE
I	I-NARRATIVE
might	I-NARRATIVE
quarrel	I-NARRATIVE
,	I-NARRATIVE

but	B-NARRATIVE
we	I-NARRATIVE
"	I-NARRATIVE
generally	I-NARRATIVE
most	I-NARRATIVE
always	I-NARRATIVE
"	I-NARRATIVE
do	I-NARRATIVE
not	I-NARRATIVE
.	I-NARRATIVE

Angela	B-OTHER
you	I-OTHER
have	I-OTHER
scarcely	I-OTHER
known	I-OTHER

since	B-NARRATIVE
she	I-NARRATIVE
was	I-NARRATIVE
a	I-NARRATIVE
little	I-NARRATIVE
girl	I-NARRATIVE
,	I-NARRATIVE

when	B-NARRATIVE
she	I-NARRATIVE
was	I-NARRATIVE
a	I-NARRATIVE
prime	I-NARRATIVE
favorite	I-NARRATIVE
of	I-NARRATIVE
yours	I-NARRATIVE
.	I-NARRATIVE

In	B-NARRATIVE
the	I-NARRATIVE
half-hour	I-NARRATIVE
in	I-NARRATIVE
which	I-NARRATIVE
you	I-NARRATIVE
saw	I-NARRATIVE
her	I-NARRATIVE
,	I-NARRATIVE

just	B-NARRATIVE
before	I-NARRATIVE
we	I-NARRATIVE
sailed	I-NARRATIVE
,	I-NARRATIVE

you	B-NARRATIVE
must	I-NARRATIVE
have	I-NARRATIVE
realized	I-NARRATIVE

that	B-DESCRIPTIVE
in	I-DESCRIPTIVE
appearance	I-DESCRIPTIVE
she	I-DESCRIPTIVE
had	I-DESCRIPTIVE
fulfilled	I-DESCRIPTIVE
the	I-DESCRIPTIVE
promise	I-DESCRIPTIVE
of	I-DESCRIPTIVE
her	I-DESCRIPTIVE
beautiful	I-DESCRIPTIVE
childhood	I-DESCRIPTIVE
.	I-DESCRIPTIVE

She	B-DESCRIPTIVE
is	I-DESCRIPTIVE
a	I-DESCRIPTIVE
spirited	I-DESCRIPTIVE
creature	I-DESCRIPTIVE
,	I-DESCRIPTIVE
but	I-DESCRIPTIVE
with	I-DESCRIPTIVE
a	I-DESCRIPTIVE
fine	I-DESCRIPTIVE
balance	I-DESCRIPTIVE
of	I-DESCRIPTIVE
common	I-DESCRIPTIVE
sense	I-DESCRIPTIVE
,	I-DESCRIPTIVE

and	B-DESCRIPTIVE
with	I-DESCRIPTIVE
her	I-DESCRIPTIVE
delicate	I-DESCRIPTIVE
,	I-DESCRIPTIVE
spirituelle	I-DESCRIPTIVE
beauty	I-DESCRIPTIVE
is	I-DESCRIPTIVE
astonishingly	I-DESCRIPTIVE
practical	I-DESCRIPTIVE
-	I-DESCRIPTIVE
an	I-DESCRIPTIVE
up-to-date	I-DESCRIPTIVE
girl	I-DESCRIPTIVE
,	I-DESCRIPTIVE
in	I-DESCRIPTIVE
fine	I-DESCRIPTIVE
.	I-DESCRIPTIVE

Have	B-OTHER
you	I-OTHER
ever	I-OTHER
wondered	I-OTHER
,	I-OTHER
among	I-OTHER
your	I-OTHER
many	I-OTHER
ponderings	I-OTHER
,	I-OTHER

why	B-OTHER
the	I-OTHER
girls	I-OTHER
of	I-OTHER
to-day	I-OTHER
,	I-OTHER
with	I-OTHER
the	I-OTHER
beauty	I-OTHER
of	I-OTHER
their	I-OTHER
great-grandmothers	I-OTHER
,	I-OTHER
should	I-OTHER
be	I-OTHER
utterly	I-OTHER
devoid	I-OTHER
of	I-OTHER
the	I-OTHER
sentiment	I-OTHER
that	I-OTHER
enhanced	I-OTHER
the	I-OTHER
loveliness	I-OTHER
of	I-OTHER
those	I-OTHER
dear	I-OTHER
ladies	I-OTHER

as	B-OTHER
perfume	I-OTHER
adds	I-OTHER
to	I-OTHER
the	I-OTHER
charm	I-OTHER
of	I-OTHER
a	I-OTHER
flower	I-OTHER
?	I-OTHER

This	B-OTHER
question	I-OTHER
I	I-OTHER
leave	I-OTHER
with	I-OTHER
you	I-OTHER
for	I-OTHER
future	I-OTHER
solution	I-OTHER
.	I-OTHER

Here	B-NARRATIVE
in	I-NARRATIVE
Genoa	I-NARRATIVE
we	I-NARRATIVE
meet	I-NARRATIVE
the	I-NARRATIVE
narrow	I-NARRATIVE
,	I-NARRATIVE
precipitous	I-NARRATIVE
passages	I-NARRATIVE
,	I-NARRATIVE
streets	I-NARRATIVE
by	I-NARRATIVE
courtesy	I-NARRATIVE
,	I-NARRATIVE

which	B-NARRATIVE
interested	I-NARRATIVE
us	I-NARRATIVE
in	I-NARRATIVE
the	I-NARRATIVE
Moorish	I-NARRATIVE
quarter	I-NARRATIVE
of	I-NARRATIVE
Algiers	I-NARRATIVE
,	I-NARRATIVE

dating	B-DESCRIPTIVE
back	I-DESCRIPTIVE
in	I-DESCRIPTIVE
both	I-DESCRIPTIVE
cases	I-DESCRIPTIVE
to	I-DESCRIPTIVE
remote	I-DESCRIPTIVE
antiquity	I-DESCRIPTIVE
.	I-DESCRIPTIVE

They	B-EXPOSITORY
are	I-EXPOSITORY
to	I-EXPOSITORY
be	I-EXPOSITORY
found	I-EXPOSITORY
,	I-EXPOSITORY

we	B-NARRATIVE
are	I-NARRATIVE
told	I-NARRATIVE
,	I-NARRATIVE

in	I-EXPOSITORY
every	I-EXPOSITORY
old	I-EXPOSITORY
Italian	I-EXPOSITORY
town	I-EXPOSITORY
.	I-EXPOSITORY

Many	B-DESCRIPTIVE
of	I-DESCRIPTIVE
them	I-DESCRIPTIVE
answer	I-DESCRIPTIVE
to	I-DESCRIPTIVE
Hawthorne	I-DESCRIPTIVE
's	I-DESCRIPTIVE
description	I-DESCRIPTIVE
of	I-DESCRIPTIVE
the	I-DESCRIPTIVE
streets	I-DESCRIPTIVE
of	I-DESCRIPTIVE
Perugia	I-DESCRIPTIVE
,	I-DESCRIPTIVE

which	B-DESCRIPTIVE
,	I-DESCRIPTIVE

he	B-NARRATIVE
says	I-NARRATIVE
,	I-NARRATIVE

are	I-DESCRIPTIVE
"	I-DESCRIPTIVE
like	I-DESCRIPTIVE
caverns	I-DESCRIPTIVE
,	I-DESCRIPTIVE

being	B-DESCRIPTIVE
arched	I-DESCRIPTIVE
all	I-DESCRIPTIVE
over	I-DESCRIPTIVE

and	B-DESCRIPTIVE
plunging	I-DESCRIPTIVE
down	I-DESCRIPTIVE
abruptly	I-DESCRIPTIVE
towards	I-DESCRIPTIVE
an	I-DESCRIPTIVE
unknown	I-DESCRIPTIVE
darkness	I-DESCRIPTIVE
,	I-DESCRIPTIVE

which	B-DESCRIPTIVE
,	I-DESCRIPTIVE

when	B-DESCRIPTIVE
you	I-DESCRIPTIVE
have	I-DESCRIPTIVE
fathomed	I-DESCRIPTIVE
its	I-DESCRIPTIVE
depths	I-DESCRIPTIVE
,	I-DESCRIPTIVE

admits	I-DESCRIPTIVE
you	I-DESCRIPTIVE
to	I-DESCRIPTIVE
a	I-DESCRIPTIVE
daylight	I-DESCRIPTIVE
that	I-DESCRIPTIVE
you	I-DESCRIPTIVE
scarcely	I-DESCRIPTIVE
hoped	I-DESCRIPTIVE
to	I-DESCRIPTIVE
behold	I-DESCRIPTIVE
again	I-DESCRIPTIVE
.	I-DESCRIPTIVE
"	I-DESCRIPTIVE

Old	B-DESCRIPTIVE
palaces	I-DESCRIPTIVE
overshadow	I-DESCRIPTIVE
these	I-DESCRIPTIVE
narrow	I-DESCRIPTIVE
,	I-DESCRIPTIVE
crooked	I-DESCRIPTIVE
streets	I-DESCRIPTIVE
,	I-DESCRIPTIVE

built	B-DESCRIPTIVE
many	I-DESCRIPTIVE
stories	I-DESCRIPTIVE
high	I-DESCRIPTIVE
and	I-DESCRIPTIVE
close	I-DESCRIPTIVE
together	I-DESCRIPTIVE
for	I-DESCRIPTIVE
protection	I-DESCRIPTIVE
against	I-DESCRIPTIVE
enemies	I-DESCRIPTIVE
without	I-DESCRIPTIVE
and	I-DESCRIPTIVE
factional	I-DESCRIPTIVE
feuds	I-DESCRIPTIVE
at	I-DESCRIPTIVE
home	I-DESCRIPTIVE
;	I-DESCRIPTIVE
such	I-DESCRIPTIVE
as	I-DESCRIPTIVE
those	I-DESCRIPTIVE
between	I-DESCRIPTIVE
the	I-DESCRIPTIVE
powerful	I-DESCRIPTIVE
houses	I-DESCRIPTIVE
of	I-DESCRIPTIVE
Doria	I-DESCRIPTIVE
,	I-DESCRIPTIVE
Spinola	I-DESCRIPTIVE
,	I-DESCRIPTIVE
Fieschi	I-DESCRIPTIVE
,	I-DESCRIPTIVE
and	I-DESCRIPTIVE
the	I-DESCRIPTIVE
like	I-DESCRIPTIVE
.	I-DESCRIPTIVE

The	B-ARGUMENTATIVE
majority	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
these	I-ARGUMENTATIVE
buildings	I-ARGUMENTATIVE
have	I-ARGUMENTATIVE
fallen	I-ARGUMENTATIVE
from	I-ARGUMENTATIVE
their	I-ARGUMENTATIVE
ancient	I-ARGUMENTATIVE
glory	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

and	B-ARGUMENTATIVE
look	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

as	B-NARRATIVE
Angela	I-NARRATIVE
says	I-NARRATIVE
,	I-NARRATIVE

like	I-ARGUMENTATIVE
tenement	I-ARGUMENTATIVE
houses	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

This	B-ARGUMENTATIVE
plebeian	I-ARGUMENTATIVE
association	I-ARGUMENTATIVE
is	I-ARGUMENTATIVE
carried	I-ARGUMENTATIVE
out	I-ARGUMENTATIVE
by	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
squalid	I-ARGUMENTATIVE
appearance	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
inhabitants	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

and	B-DESCRIPTIVE
